cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
67120460,PA,Ananindeua,Quarenta Horas (Coqueiro),Travessa Visconde do Rio Branco,-1.36556,-48.37222,brasilapi,open-meteo,2026-02-23T23:50:10.673Z
68148000,PA,Brasil Novo,,,-3.3055853,-52.539198,brasilapi,brasilapi,2026-02-23T23:50:10.865Z
68626727,PA,Paragominas,Tropical,Avenida Professor Manoel Pereira da Silva,-2.99565,-47.35488,brasilapi,open-meteo,2026-02-23T23:50:11.238Z
68627300,PA,Paragominas,Jardim Atlântico,Rua Trindade,-2.99565,-47.35488,brasilapi,open-meteo,2026-02-23T23:50:11.425Z
68628531,PA,Paragominas,Promissão,Rua Elias Nogueira,-2.979735,-47.345027,brasilapi,brasilapi,2026-02-23T23:50:11.613Z
68870000,PA,Soure,,,-0.71667,-48.52333,brasilapi,open-meteo,2026-02-23T23:50:11.982Z
68928337,AP,Santana,Fonte Nova,Rua Antônio Abilio Rodrigues,-0.03816,-51.17476,brasilapi,open-meteo,2026-02-23T23:50:12.381Z
68980000,AP,Oiapoque,,,3.84306,-51.835,brasilapi,open-meteo,2026-02-23T23:50:12.764Z
69317102,RR,Boa Vista,Santa Luzia,Rua José Cassimiro da Silva,2.81972,-60.67333,brasilapi,open-meteo,2026-02-23T23:50:13.139Z
69317382,RR,Boa Vista,Equatorial,Rua Nordeste,2.8155648,-60.778534,brasilapi,brasilapi,2026-02-23T23:50:13.332Z
69735000,AM,Presidente Figueiredo,,,-2.0486359,-60.0236658,brasilapi,brasilapi,2026-02-23T23:50:13.534Z
69909730,AC,Rio Branco,Vila Acre,Rodovia AC-40,-10.0536542,-67.7773428,brasilapi,brasilapi,2026-02-23T23:50:13.729Z
69921162,AC,Rio Branco,Conjunto Adalberto Sena,Rua João Nascimento,-9.97472,-67.81,brasilapi,open-meteo,2026-02-23T23:50:14.106Z
70278040,DF,Brasília,Asa Sul,Quadra SQS 412 Bloco D,-15.77972,-47.92972,brasilapi,open-meteo,2026-02-23T23:50:14.488Z
